Date,Closing Price
10/3/2022,98.8
10/4/2022,94.5
10/5/2022,98.7
10/6/2022,98.5
10/7/2022,100
10/11/2022,92
10/12/2022,91
10/13/2022,100
10/14/2022,94.5
10/17/2022,95.4
10/18/2022,93
10/19/2022,94.5
10/20/2022,95.3
10/21/2022,93.5
10/25/2022,94.7
10/26/2022,93.9
10/27/2022,97
10/28/2022,97
10/31/2022,96
11/1/2022,98
11/2/2022,95
11/3/2022,97.9
11/4/2022,97.8
11/8/2022,92.2
11/9/2022,92.9
11/10/2022,91
11/11/2022,92.7
11/14/2022,92.1
11/15/2022,94.9
11/16/2022,90
11/17/2022,94.5
11/18/2022,85
11/21/2022,84
11/22/2022,92.5
11/23/2022,90
11/24/2022,84.5
11/25/2022,90
11/28/2022,93.5
11/29/2022,92.9
11/30/2022,93
12/1/2022,96.9
12/2/2022,96
12/5/2022,97
12/6/2022,95.5
12/8/2022,94.6
12/9/2022,96.4
12/12/2022,96.8
12/13/2022,95
12/14/2022,96
12/15/2022,96
12/16/2022,92.1
12/19/2022,95.9
12/20/2022,92
12/21/2022,94
12/22/2022,94.8
12/27/2022,94.8
12/28/2022,92.1
12/29/2022,94.5
12/30/2022,97.9
1/2/2023,98
1/3/2023,97.7
1/4/2023,97
1/5/2023,97
1/9/2023,98.2
1/10/2023,95.6
1/11/2023,90.1
1/12/2023,91
1/13/2023,90
1/17/2023,93
1/18/2023,91
1/19/2023,90.9
1/20/2023,92
1/23/2023,93
1/24/2023,93
1/25/2023,93
1/26/2023,90
1/27/2023,90
1/30/2023,90.2
1/31/2023,90
2/1/2023,89
2/2/2023,91.4
2/3/2023,92.5
2/6/2023,90
2/7/2023,88
2/8/2023,90.5
2/9/2023,89.8
2/10/2023,90
2/13/2023,90
2/14/2023,88.1
2/15/2023,89
2/16/2023,87
2/17/2023,89
2/20/2023,89.8
2/21/2023,89.9
2/22/2023,89.8
2/23/2023,88.8
2/24/2023,89.8
2/27/2023,89
2/28/2023,91.3
3/1/2023,91.3
3/2/2023,89.9
3/3/2023,86.9
3/7/2023,89.9
3/8/2023,83
3/9/2023,85
3/10/2023,84
3/13/2023,82.4
3/14/2023,83.4
3/15/2023,83
3/16/2023,89.5
3/17/2023,89.5
3/20/2023,89.9
3/21/2023,88.8
3/22/2023,89
3/23/2023,88.5
3/24/2023,82.4
3/27/2023,81
3/28/2023,80.3
3/29/2023,80.7
3/30/2023,80.5
3/31/2023,82.5
4/3/2023,82
4/4/2023,82
4/6/2023,82.5
4/10/2023,103.5
4/11/2023,105
4/12/2023,105.75
4/17/2023,110
4/18/2023,108
4/19/2023,108
4/20/2023,93.8
4/21/2023,92
4/24/2023,89.4
4/25/2023,90.8
4/26/2023,90
4/27/2023,90.7
4/28/2023,90
5/2/2023,88.6
5/3/2023,90
5/4/2023,90.8
5/8/2023,90
5/9/2023,90
5/10/2023,90.8
5/11/2023,91
5/12/2023,98
5/15/2023,102
5/16/2023,101
5/17/2023,100
5/18/2023,99.2
5/19/2023,98.1
5/22/2023,95
5/23/2023,96.2
5/24/2023,96.6
5/25/2023,95.5
5/26/2023,94.2
5/29/2023,89
5/30/2023,91.8
5/31/2023,93.8
6/1/2023,91.1
6/2/2023,92
6/5/2023,91.5
6/6/2023,91
6/7/2023,91
6/8/2023,90.2
6/9/2023,94
6/12/2023,94.5
6/13/2023,93.9
6/14/2023,94.3
6/15/2023,94.6
6/16/2023,94
6/19/2023,93
6/20/2023,93.6
6/21/2023,95
6/22/2023,94.9
6/23/2023,95
6/26/2023,96.7
6/27/2023,96
6/28/2023,95.2
7/4/2023,97.8
7/5/2023,100
7/6/2023,102.75
7/7/2023,103
7/10/2023,106
7/11/2023,105.25
7/12/2023,106.5
7/13/2023,108.75
7/14/2023,109
7/17/2023,107.5
7/18/2023,108.75
7/19/2023,109
7/20/2023,111
7/21/2023,110.5
7/24/2023,111
7/25/2023,122.25
7/26/2023,124.5
7/27/2023,126.75
7/28/2023,126
7/31/2023,125
8/2/2023,122.75
8/3/2023,124.25
8/4/2023,126
8/7/2023,117.25
8/8/2023,119
8/9/2023,117.5
8/10/2023,117.75
8/11/2023,113.5
8/14/2023,115.75
8/15/2023,114.25
8/16/2023,114
8/17/2023,112.5
8/18/2023,112
8/21/2023,110
8/22/2023,111.25
8/23/2023,111.5
8/24/2023,109.75
8/25/2023,110
8/28/2023,114
8/29/2023,119
8/31/2023,120.5
9/1/2023,119
9/4/2023,118
9/5/2023,119.25
9/6/2023,119
9/7/2023,119
9/8/2023,119
9/11/2023,119.25
9/12/2023,118
9/13/2023,119.5
9/14/2023,119
9/15/2023,118
9/18/2023,116
9/19/2023,116.5
9/20/2023,117.5
9/21/2023,118
9/22/2023,117.75
9/25/2023,116
9/26/2023,118
9/27/2023,116
10/2/2023,118
10/3/2023,119
10/4/2023,119
10/5/2023,119.5
10/6/2023,119
10/9/2023,117.5
10/10/2023,115.25
10/11/2023,114.25
10/12/2023,115
10/13/2023,115
10/16/2023,114
10/17/2023,109.5
10/18/2023,109.5
10/19/2023,109.25
10/20/2023,110
10/23/2023,110.75
10/24/2023,107
10/25/2023,107.75
10/26/2023,105.25
10/27/2023,105
10/30/2023,109.25
10/31/2023,112.5
11/1/2023,112
11/2/2023,111.75
11/3/2023,110
11/6/2023,111
11/7/2023,113.5
11/8/2023,114
11/9/2023,111.25
11/10/2023,112
11/13/2023,112.5
11/14/2023,111.5
11/15/2023,111.75
11/16/2023,111.5
11/17/2023,111.25
11/20/2023,112
11/21/2023,111
11/22/2023,113.75
11/23/2023,113
11/24/2023,112
11/27/2023,113
11/28/2023,111
11/29/2023,111
11/30/2023,112
12/1/2023,112
12/4/2023,110.75
12/5/2023,112
12/6/2023,111
12/7/2023,112
12/8/2023,113
12/11/2023,113.5
12/12/2023,113.75
12/13/2023,114.75
12/14/2023,114
12/15/2023,110
12/18/2023,110.5
12/19/2023,110.5
12/20/2023,110.75
12/21/2023,110
12/22/2023,110
12/27/2023,110
12/28/2023,110
12/29/2023,108.75
1/2/2024,111
1/3/2024,109.75
1/4/2024,109.75
1/5/2024,110
1/8/2024,109.5
1/9/2024,109.25
1/10/2024,109
1/11/2024,108
1/12/2024,107.5
1/16/2024,108
1/17/2024,107.25
1/18/2024,107
1/19/2024,109.75
1/22/2024,107
1/23/2024,107.25
1/24/2024,108.25
1/26/2024,110
1/29/2024,108
1/30/2024,107.25
1/31/2024,109.75
2/1/2024,109
2/2/2024,109
2/6/2024,109.25
2/7/2024,110.75
2/8/2024,110
2/9/2024,107.5
2/12/2024,107.5
2/13/2024,107
2/14/2024,106
2/15/2024,105
2/16/2024,105
2/19/2024,106
2/20/2024,108
2/21/2024,107.25
2/22/2024,109
2/26/2024,108
2/27/2024,108.75
2/28/2024,108.5
2/29/2024,108.5
3/1/2024,109.25
3/4/2024,108.5
3/5/2024,108.5
3/6/2024,108.75
3/7/2024,109.75
3/11/2024,111.75
3/12/2024,109.25
3/13/2024,111
3/14/2024,113.5
3/15/2024,114
3/18/2024,113
3/19/2024,113
3/20/2024,113
3/21/2024,113.5
3/22/2024,113.75
3/25/2024,113.75
3/26/2024,114
3/27/2024,113.75
3/28/2024,113.75
4/1/2024,115.75
4/2/2024,115.75
4/3/2024,115
4/4/2024,113.75
4/5/2024,114.25
4/8/2024,114.5
4/9/2024,111.75
4/10/2024,112
4/15/2024,110
4/16/2024,112.75
4/17/2024,112
4/18/2024,112
4/19/2024,112
4/22/2024,111.75
4/24/2024,111.5
4/25/2024,112
4/26/2024,113
4/29/2024,114.75
4/30/2024,113.75
5/2/2024,113
5/3/2024,113
5/6/2024,114.5
5/7/2024,114
5/8/2024,114.75
5/9/2024,114.5
5/10/2024,120.5
5/13/2024,122.5
5/14/2024,121
5/15/2024,119
5/16/2024,119.75
5/17/2024,121
5/20/2024,120
5/21/2024,119
5/22/2024,121
5/27/2024,123.5
5/28/2024,122.75
5/29/2024,122.75
5/30/2024,122.5
5/31/2024,122.5
6/3/2024,123.5
6/4/2024,123
6/5/2024,123.5
6/6/2024,129
6/7/2024,128
6/10/2024,128
6/11/2024,129
6/12/2024,127
6/13/2024,127
6/14/2024,124.75
6/18/2024,126
6/19/2024,130
6/20/2024,132
6/24/2024,131
6/25/2024,131
6/26/2024,135
6/27/2024,141
6/28/2024,142.5
7/1/2024,138.5
7/2/2024,140.75
7/3/2024,139
7/4/2024,133
7/5/2024,137.5
7/8/2024,135
7/9/2024,135
7/10/2024,135
7/11/2024,136
7/12/2024,134.25
7/15/2024,135.75
7/16/2024,136
7/17/2024,132
7/18/2024,133
7/19/2024,135
7/22/2024,134
7/23/2024,132.75
7/24/2024,132.25
7/25/2024,135
7/26/2024,125
7/29/2024,122.25
7/30/2024,123
7/31/2024,121
8/1/2024,122
8/2/2024,123.5
8/5/2024,117
8/6/2024,118.5
8/7/2024,118.5
8/8/2024,118.5
8/9/2024,121
8/12/2024,123.75
8/13/2024,118.25
8/14/2024,122
8/15/2024,121
8/16/2024,120.5
8/20/2024,122
8/21/2024,122
8/22/2024,119.75
8/23/2024,120
8/26/2024,121.75
8/27/2024,118.5
8/28/2024,116.5
8/29/2024,120
8/30/2024,120
9/2/2024,118
9/3/2024,117
9/4/2024,119
9/5/2024,119.25
9/6/2024,120
9/9/2024,118.75
9/10/2024,119
9/11/2024,116
9/12/2024,119.75
9/13/2024,122
9/18/2024,120
9/19/2024,118
9/20/2024,121.25
9/23/2024,121.5
9/24/2024,122.75
9/25/2024,124.75
9/26/2024,122
9/27/2024,126.5
9/30/2024,126.25
10/1/2024,126.25
